point, temperature, humidity 
강릉,17.4,93
강진군,20.5,97
강화,18.8,91
거제,20.1,87
거창,18.2,91
경주시,19.2,90
고산,23.5,85
고창,17.8,100
고창군,18.9,96
고흥,20.8,99
광양시,21.7,81
광주,20.4,99
구미,18.1,93
군산,18.3,99
금산,16.5,100
김해시,20.0,90
남원,18.9,96
남해,20.9,91
대관령,16.1,87
대구,20.1,84
대전,18.6,96
동두천,17.0,100
동해,18.4,84
목포,20.0,98
문경,15.8,100
밀양,20.2,84
백령도,21.3,95
보령,19.9,82
보성군,20.9,98
보은,15.2,100
봉화,17.4,89
부산,20.1,83
부안,19.2,96
부여,16.6,100
북강릉,18.1,87
북창원,21.1,89
북춘천,17.2,100
산청,19.3,90
상주,17.1,97
서귀포,22.8,86
서산,19.0,97
서울,19.1,91
성산,22.3,85
세종,18.4,91
속초,19.1,82
수원,19.2,98
순창군,18.9,97
순천,20.7,92
안동,18.1,89
양산시,20.3,89
양평,16.7,100
여수,21.5,88
영광군,18.3,97
영덕,19.5,86
영월,16.6,97
영주,17.3,95
영천,18.9,89
울릉도,17.8,83
울산,20.2,95
울진,18.8,86
원주,16.5,97
의령군,19.8,93
의성,18.6,92
이천,17.1,100
인제,17.9,89
인천,20.0,77
임실,18.3,96
장수,16.4,100
장흥,20.6,96
전주,20.7,84
정선군,17.5,93
정읍,18.6,94
제주,23.1,84
제천,15.8,100
진도군,21.0,94
진주,20.2,91
창원,20.1,86
천안,16.5,100
철원,16.5,100
청송군,18.3,99
청주,19.0,86
추풍령,17.7,83
춘천,17.8,95
충주,16.2,99
태백,16.4,88
통영,21.1,100
파주,16.4,100
포항,20.0,85
함양군,18.2,89
합천,18.4,100
해남,20.8,96
홍성,19.1,92
홍천,15.8,99
흑산도,22.1,90
