2020년 09월 21일 02시 00분 현재 날씨 
도시, 온도, 습도 
강릉,15.2,64
강진군,14.5,96
강화,12.5,87
거제,14.6,90
거창,11.0,99
경주시,12.1,98
고산,20.2,81
고창,12.9,100
고창군,13.3,92
고흥,12.3,99
광양시,15.6,73
광주,15.7,94
구미,12.9,84
군산,14.5,90
금산,11.3,98
김해시,15.0,82
남원,12.8,98
남해,15.9,89
대관령,4.4,97
대구,13.9,92
대전,13.7,89
동두천,10.8,94
동해,13.1,85
목포,18.1,92
문경,11.8,94
밀양,13.0,89
백령도,16.7,90
보령,14.2,77
보성군,14.4,92
보은,10.0,99
봉화,7.6,100
부산,17.7,68
부안,14.6,94
부여,11.8,99
북강릉,12.8,72
북창원,15.9,79
북춘천,9.8,97
산청,12.3,100
상주,11.8,91
서귀포,20.5,41
서산,12.8,92
서울,16.0,66
성산,19.1,78
세종,13.2,81
속초,14.0,66
수원,13.9,98
순창군,11.8,98
순천,11.1,99
안동,12.1,88
양산시,14.7,92
양평,11.8,96
여수,19.2,71
영광군,13.8,96
영덕,12.4,97
영월,10.1,94
영주,9.5,99
영천,11.5,96
완도,16.5,88
울릉도,15.6,71
울산,14.6,89
울진,13.3,89
원주,12.6,84
의령군,12.2,96
의성,10.0,98
이천,11.7,100
인제,10.3,91
인천,17.4,63
임실,11.0,100
장수,9.4,100
장흥,12.2,99
전주,15.2,82
정선군,8.6,96
정읍,13.4,91
제주,19.2,69
제천,8.9,100
진도군,15.6,100
진주,12.8,94
창원,15.8,71
천안,11.4,100
철원,9.5,100
청송군,9.2,99
청주,15.1,78
추풍령,9.9,85
춘천,11.6,92
충주,11.2,95
태백,6.8,98
통영,16.8,100
파주,9.8,99
포항,15.5,73
함양군,11.3,96
합천,12.0,99
해남,12.1,99
홍성,12.3,96
홍천,10.4,92
흑산도,19.2,83
